mctrash.lan	2020-10-31T12:19:05	20	65	997
mctrash.lan	2020-10-31T12:19:15	20	65	997
mctrash.lan	2020-10-31T12:19:25	20	65	997
mctrash.lan	2020-10-31T12:19:35	20	65	997
mctrash.lan	2020-10-31T12:19:45	20	65	997
mctrash.lan	2020-10-31T12:19:55	20	65	997
mctrash.lan	2020-10-31T12:20:05	20	65	997
mctrash.lan	2020-10-31T12:20:15	20	65	997
mctrash.lan	2020-10-31T12:20:25	20	65	997
mctrash.lan	2020-10-31T12:20:35	20	65	997
mctrash.lan	2020-10-31T12:20:45	20	65	997
mctrash.lan	2020-10-31T12:20:55	20	65	997
mctrash.lan	2020-10-31T12:21:05	20	65	997
mctrash.lan	2020-10-31T12:21:15	20	65	997
mctrash.lan	2020-10-31T12:21:25	20	65	997
mctrash.lan	2020-10-31T12:21:35	20	65	997
